idx,t,px,py,pz,vx,vy,vz,ax,ay,az,yaw,mode,ledr,ledg,ledb
1377,68.875,-14.9334294690462,-1.4053598593929373,-15,0.1478249928815858,-1.5429732053020817,0,0.16376337912339542,0.030822990785286348,0,0,70,0,0,0
1378,68.92500000000001,-14.925833549418396,-1.482430052843444,-15,0.15601109807549626,-1.5398063603587195,0,0.16368008054363,0.03251332927522396,0,0,70,0,0,0
1379,68.975,-14.917828430524102,-1.559337681133188,-15,0.16419292614634456,-1.5364706582959033,0,0.16359229459177405,0.03420010231221464,0,0,70,0,0,0
1380,69.025,-14.909414331827696,-1.6360743104740703,-15,0.1723702527851825,-1.5329664649109538,0,0.16350002367452374,0.03588312492258694,0,0,70,0,0,0
1381,69.075,-14.900591484005947,-1.7126315258299143,-15,0.1805428538064667,-1.5292941644781657,0,0.16340327032153298,0.03756221254394512,0,0,70,0,0,0
1382,69.125,-14.891360128941681,-1.789000931839374,-15,0.18871050515421603,-1.5254541597066622,0,0.1633020371853438,0.039237181045410775,0,0,70,0,0,0
1383,69.17500000000001,-14.881720519717168,-1.8651741537364108,-15,0.1968729829081359,-1.521446871696243,0,0.16319632704131376,0.040907846747811116,0,0,70,0,0,0
1384,69.225,-14.871672920607157,-1.9411428382689009,-15,0.20503006328978113,-1.517272739891194,0,0.1630861427875398,0.04257402644382629,0,0,70,0,0,0
1385,69.275,-14.861217607071653,-2.0168986546144962,-15,0.21318152266867238,-1.5129322220321053,0,0.16297148744477893,0.04423553741807652,0,0,70,0,0,0
1386,69.325,-14.850354865748363,-2.0924332952942177,-15,0.22132713756843045,-1.5084257941056753,0,0.16285236415636534,0.045892197467159376,0,0,70,0,0,0
1387,69.375,-14.839084994444823,-2.1677384770835433,-15,0.22946668467291084,-1.5037539502925068,0,0.1627287761881241,0.047543824919632174,0,0,70,0,0,0
1388,69.42500000000001,-14.827408302130253,-2.242805941920652,-15,0.23759994083231525,-1.498917202912923,0,0.1626007269282818,0.04919023865593207,0,0,70,0,0,0
1389,69.475,-14.815325108927066,-2.3176274578121028,-15,0.24572668306931902,-1.493916082370778,0,0.1624682198873736,0.05083125812823971,0,0,70,0,0,0
1390,69.525,-14.802835746102108,-2.39219481973553,-15,0.25384668858517984,-1.4887511370952962,0,0.16233125869814694,0.05246670338027767,0,0,70,0,0,0
1391,69.575,-14.789940556057573,-2.466499850539375,-15,0.26195973476584195,-1.4834229334809323,0,0.16218984711546203,0.05409639506704369,0,0,70,0,0,0
1392,69.625,-14.776639892321608,-2.540534401839694,-15,0.2700655991880489,-1.4779320558252544,0,0.1620439890161888,0.05572015447447992,0,0,70,0,0,0
1393,69.67500000000001,-14.762934119538627,-2.614290354913618,-15,0.27816405962543,-1.4722791062648757,0,0.16189368839910076,0.05733780353906868,0,0,70,0,0,0
1394,69.725,-14.748823613459319,-2.6877596215897515,-15,0.2862548940546029,-1.4664647047094175,0,0.16173894938476527,0.05894916486736106,0,0,70,0,0,0
1395,69.775,-14.73430876093033,-2.7609341451350793,-15,0.29433788066125466,-1.4604894887735327,0,0.16157977621543052,0.06055406175542903,0,0,70,0,0,0
1396,69.825,-14.719389959883676,-2.8338059011385064,-15,0.30241279784622577,-1.4543541137069824,0,0.16141617325490937,0.062152318208243545,0,0,70,0,0,0
1397,69.875,-14.704067619325825,-2.906366898390783,-15,0.3104794242315811,-1.4480592523227827,0,0.16124814498845963,0.06374375895897355,0,0,70,0,0,0
1398,69.92500000000001,-14.688342159326487,-2.9786091797608605,-15,0.3185375386666823,-1.4416055949234223,0,0.1610756960226612,0.06532820948820656,0,0,70,0,0,0
